,Class
0,5
1,4
2,3
3,10
4,9
5,5
6,6
7,5
8,9
9,3
10,10
11,4
12,10
13,1
14,9
15,0
16,5
17,0
18,5
19,9
20,10
21,9
22,9
23,3
24,5
25,5
26,5
27,9
28,3
29,3
30,4
31,10
32,5
33,6
34,10
35,9
36,2
37,5
38,3
39,10
40,9
41,4
42,9
43,6
44,9
45,3
46,2
47,10
48,10
49,5
50,3
51,6
52,2
53,3
54,3
55,10
56,9
57,5
58,9
59,9
60,5
61,10
62,4
63,10
64,6
65,8
66,6
67,3
68,3
69,6
70,3
71,9
72,10
73,9
74,1
75,6
76,9
77,0
78,10
79,10
80,6
81,9
82,6
83,5
84,4
85,9
86,9
87,9
88,6
89,5
90,9
91,5
92,2
93,10
94,5
95,7
96,1
97,10
98,9
99,6
100,5
101,9
102,0
103,0
104,3
105,9
106,10
107,6
108,10
109,0
110,9
111,3
112,5
113,9
114,6
115,5
116,8
117,5
118,6
119,0
120,0
121,10
122,6
123,10
124,2
125,6
126,9
127,5
128,0
129,6
130,1
131,0
132,9
133,4
134,8
135,9
136,10
137,8
138,5
139,5
140,5
141,5
142,6
143,2
144,9
145,6
146,10
147,9
148,3
149,9
150,10
151,10
152,9
153,9
154,6
155,9
156,10
157,6
158,5
159,9
160,6
161,9
162,10
163,9
164,8
165,10
166,6
167,10
168,3
169,1
170,6
171,3
172,6
173,9
174,6
175,0
176,5
177,10
178,2
179,5
180,10
181,9
182,5
183,9
184,10
185,6
186,10
187,9
188,3
189,9
190,9
191,8
192,10
193,7
194,5
195,3
196,5
197,6
198,10
199,10
200,10
201,7
202,9
203,0
204,4
205,10
206,3
207,5
208,8
209,4
210,3
211,9
212,0
213,10
214,4
215,6
216,9
217,1
218,10
219,9
220,9
221,5
222,0
223,5
224,1
225,10
226,9
227,9
228,6
229,5
230,5
231,7
232,9
233,1
234,10
235,9
236,5
237,9
238,5
239,10
240,0
241,10
242,3
243,5
244,9
245,9
246,10
247,0
248,4
249,6
250,4
251,6
252,9
253,9
254,10
255,5
256,0
257,5
258,3
259,9
260,5
261,6
262,3
263,9
264,8
265,6
266,9
267,10
268,6
269,6
270,5
271,4
272,9
273,4
274,8
275,8
276,9
277,8
278,9
279,6
280,9
281,5
282,5
283,6
284,6
285,8
286,9
287,5
288,7
289,3
290,9
291,9
292,7
293,8
294,10
295,10
296,9
297,5
298,10
299,1
300,6
301,10
302,0
303,9
304,3
305,5
306,10
307,5
308,5
309,5
310,1
311,3
312,9
313,5
314,2
315,9
316,0
317,2
318,5
319,9
320,9
321,9
322,8
323,6
324,9
325,6
326,9
327,6
328,6
329,9
330,9
331,3
332,10
333,1
334,6
335,9
336,4
337,10
338,1
339,10
340,6
341,9
342,9
343,2
344,10
345,9
346,10
347,6
348,9
349,3
350,3
351,1
352,2
353,8
354,4
355,9
356,9
357,0
358,5
359,9
360,9
361,9
362,10
363,3
364,7
365,0
366,9
367,0
368,9
369,9
370,8
371,5
372,10
373,10
374,9
375,3
376,10
377,10
378,10
379,3
380,0
381,0
382,9
383,10
384,10
385,5
386,3
387,9
388,5
389,5
390,7
391,4
392,10
393,6
394,5
395,4
396,0
397,8
398,4
399,6
400,5
401,5
402,6
403,9
404,2
405,10
406,3
407,6
408,3
409,1
410,9
411,8
412,9
413,10
414,3
415,6
416,9
417,7
418,3
419,6
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,0
493,0
494,0
495,1
496,1
497,1
498,1
499,1
500,1
501,1
502,1
503,1
504,1
505,1
506,1
507,1
508,1
509,1
510,1
511,1
512,1
513,1
514,1
515,1
516,1
517,1
518,1
519,1
520,1
521,1
522,1
523,1
524,1
525,1
526,1
527,1
528,1
529,1
530,1
531,1
532,1
533,1
534,1
535,1
536,1
537,1
538,1
539,1
540,1
541,1
542,1
543,1
544,1
545,1
546,1
547,1
548,1
549,1
550,1
551,1
552,1
553,1
554,1
555,1
556,1
557,1
558,1
559,1
560,1
561,1
562,1
563,1
564,1
565,1
566,1
567,1
568,1
569,1
570,1
571,1
572,1
573,1
574,1
575,1
576,1
577,1
578,1
579,1
580,1
581,2
582,2
583,2
584,2
585,2
586,2
587,2
588,2
589,2
590,2
591,2
592,2
593,2
594,2
595,2
596,2
597,2
598,2
599,2
600,2
601,2
602,2
603,2
604,2
605,2
606,2
607,2
608,2
